front,back,frequency,
조절하다,"to control, adjust, regulate",3293,
파마하다,to get a perm,3020,
신분,social position,3235,
교복,school uniform,3022,
빠뜨리다,"to drop, throw into;to omit, exclude;to tempt",4488,
호응,(positive) response,3024,
차별,discrimination,3025,
미루다,"to delay, postpone",2469,
하얀색,white,2694,
진주,pearl,3032,
망하다,"to go to ruin, go bankrupt, perish",3033,
엉망,"wreck, mess, bad shape",3034,
계급,(social) class,3035,
감싸다,"to cover, wrap (up), shelter",3230,
검찰,the prosecution,3037,
교무실,teachers' room,3038,
살아가다,"to lead a life, get along, keep living",3049,
집착,obsession,3040,
스키장,ski resort,1974,
희미하다,"to be dim, faint, vague",3042,
빈자리,"empty seat, vacant spot",3043,
부주의,carelessness,3044,
맞이하다,"to welcome, greet, receive",3045,
거치다,"to go through, pass (through)",2732,
만원,full house (no space for more people),3047,
인류,"humanity, mankind",3397,
나아가다,"to advance, proceed",2991,
콤비,combination,3053,
뼈,bone,2733,
넘어뜨리다,"to throw down, tip down, push down",3645,
위선,hypocrisy,5036,
취침,"going to bed, retiring",3056,
쐬다,"to get (fresh air), be exposed (to sun)",3057,
귀띔,"hint, tip",3058,
주식,"stocks, shares;principal item of diet",3094,
나뉘다,"to be divided, be apart",3199,
텐트,tent,3061,
애들,kids (short from 아이들),1345,
욕먹다,"to be blamed, be criticized, be reproached",3067,
지켜보다,"to watch, observe",3112,
호적,family register,4938,
남매,brother and sister,3069,
면도하다,to shave,3070,
제약,"restriction, limitation;manufacture of medicines",3071,
우정,friendship,3072,
부당하다,"to be unfair, unjust",3073,
강도,"strength, intensity;robber, robbery",3074,
필수,"essential, required",3075,
부적절하다,to be inappropriate,3655,
까다,to peel;to hatch,3077,
체육관,gym,3308,
권투,boxing,3079,
설레다,"to flutter, vibrate",3080,
해안,"coast, seaside",3081,
다름없이,"equally, similarly, in the same way",3082,
통과하다,"to pass, get through",3083,
번쩍,"in a flash, in a breath",3084,
시상식,awards ceremony,3085,
성취하다,"to achieve, accomplish",3086,
홀랑,"naked, nude",3097,
안개,"fog, mist",3098,
통역하다,to interpret (translate orally),3099,
위협,"threat, intimidation",3100,
양다리,"double-deal, both ways (also used in the context of cheating)",3101,
구분하다,"to divide, classify",3102,
비만,"fatness, corpulence",3520,
인내심,"patience, endurance",3107,
돌보다,"to look after, take care of",3108,
건드리다,"to touch, meddle with, provoke",2932,
헬스클럽,"health club, gym",3384,
부대,"unit, troops;bag, sack",3114,
울적하다,"to be depressed, gloomy, cheerless",3115,
논리적,logical,3048,
일체,"all, the whole;entirely, absolutely",3117,
빼앗다,"to take away, rob;to fascinate, captivate",3118,
과로,"working too much, excessive labor",3119,
명예,"honor, distinction, fame",3231,
속삭이다,to whisper,3121,
상징,symbol,3122,
언덕,hill; slope,4222,
지시하다,"to direct, instruct",3160,
외삼촌,maternal uncle,3125,
숙소,"lodging, accomodations",3126,
추측하다,"to guess, suppose",3127,
취득하다,"to acquire, obtain",3132,
초인종,doorbell,3133,
대낮,the middle of the day,3134,
갚다,"to pay back, repay",2703,
살살,"gently, softly",3136,
베개,pillow,3137,
야단치다,"to scold, rebuke",3579,
각설하다,to change the subject,3139,
상사,"one's boss, superior",3140,
예의,"(good) manners, courtesy",3141,
의논하다,"to discuss (with), consult",3142,
채널,channel,3143,
벌떡,"suddenly, abruptly",3144,
찢다,"to tear, rip",3145,
클래식,classic,3146,
당번,duty,5093,
멀어지다,"to grow apart, drift apart",2029,
언제든지,anytime,3155,
순번,"turn, go",3156,
감당하다,"to be able to fulfill the duties;to handle, manage, deal (with)",3162,
마사지,massage,3163,
이민,emigration;immigration,3164,
닥치다,"to approach, draw near;to shut up",3165,
의문,"question, doubt",3176,
빈대떡,green-bean pancake,3166,
접다,to fold,3167,
조끼,vest,3168,
영양,"nutrition, nourishment",3405,
참여하다,to participate (in),3263,
슬리퍼,slipper,3171,
졸업식,graduation ceremony,3172,
가물가물하다,"to be blurry, blurred",3173,
물냉면,cold noodles served in water,3174,
전통적,"traditional, conventional",2840,
부러지다,"to be broken, snap",3151,
지도하다,"to guide, direct, coach",3211,
형식,"form, formality",3200,
인상적,impressive,3478,
중요시하다,"to put a high value (on), regard as important",3221,
탕수육,sweet and sour pork,3183,
재즈,jazz,3184,
뜨다,to float;to rise;to open (eyes),2425,
카레,curry,3189,
본업,main occupation,3190,
정해지다,"to be set, arranged, determined",2642,
백수,"being out of work, unemployed;all kinds of animals",3187,
현실적,"realistic, practical",2593,
닳다,to wear out,3193,
짬뽕,Chinese spicy noodle soup,3194,
안동,Andong,3195,
빨개지다,to turn red,3196,
묵다,to stay (over night);to get old,2716,
자가용,one's own car,3198,
울음,crying,2241,
양보하다,"to yield, give, concede",2730,
채,counter for houses,1801,
현상,"the present situation, existing circumstances",2107,
띄다,"to leave a space;to be visible, stand out",3474,
왕관,crown,5063,
되돌리다,"to restore, put back, return",3103,
탈,"mask, disguise;sickness",3212,
우연,"coincidence, chance",3213,
명랑하다,"to be cheerful, bright",3214,
출퇴근하다,to commute,3215,
멀미,"nausea, motion sickness",3203,
홈페이지,"website, home page",3217,
책임지다,to take responsibility,3483,
또한,"also, too, as well",3219,
사적,"private, personal",3220,
싱싱하다,to be fresh,3264,
저울,"scales, balance",3222,
자존심,"self-respect, pride",3223,
떠오르다,to come across one's mind;to rise up,3224,
동해,the East Sea,2688,
실,"thread, yarn",3227,
정차하다,"to stop, make a stop (about vehicles)",3228,
전시회,"exhibition, display",2408,
세배,New Year's bow,3234,
겪다,"to undergo, suffer",3250,
설사,diarrhea,3236,
작업,"work, operation",2051,
귀여워하다,to treat affectionately,2637,
걸치다,"to extend, stretch;to wear, throw on",3209,
남해,the South Sea,3280,
샴페인,champagne,3240,
출판하다,to publish,3241,
행위,"act, action",2330,
장관,"minister;magnificent sight, grandeur",2935,
삐다,"to sprain, twist",3244,
언급,"mention, reference",3245,
계집아이,girl,3246,
태워주다,to give a person a ride,3233,
눈사람,snowman,2630,
고소,"accusation, (legal) charge;wry smile",3249,
빚지다,to get into debt,4484,
도전,challenge,3251,
마라톤,marathon,3252,
수집하다,"to collect, gather",3253,
뜬금없이,all of a sudden,3254,
인심,"one's mind, one's heart",3255,
베다,"to cut, slash, saw;to rest one's head on",3256,
제복,uniform,3257,
대한민국,Republic of Korea,3258,
뛰어가다,"to run, dash",3259,
형수,one's elder brother's wife,3260,
서방,husband;the West,3261,
해당하다,"to be relevant, to correspond (to)",2883,
놀이공원,amusement park,3269,
상대,business school;counterpart,2221,
올리다,"to raise, lift up;to offer",1809,
회비,membership fee,3272,
핸드백,handbag,3933,
존경하다,"to respect, look up to",3515,
매운탕,spicy fish stew,3276,
사위,son-in-law,3278,
벌이다,"to start, set up, stage",2160,
중독,poisoning;addiction,3284,
기념품,souvenir,3318,
삭제하다,"to delete, remove",3286,
부정,"denial, negation;corruption, dishonesty;unfaithfulness",3210,
사내아이,boy,3288,
절박하다,"to be urgent, desperate",3289,
실제,"truth, reality",3333,
예고편,"preview, trailer",3291,
감독하다,"to supervise, oversee",3292,
화면,"screen, picture",2879,
굽,heel,3294,
빌려주다,"to lend, loan",3295,
거지,beggar,3296,
외계인,alien,3297,
격려하다,to encourage,3298,
물고기,fish,1221,
생신,birthday (hon.),3300,
기죽다,to be discouraged,3301,
동작,"movement, action",3302,
개구리,frog,3303,
돋보이다,"to stand out, show to advantage",3304,
야망,"ambition, aspiration",3305,
뽀뽀,"kiss, peck",3460,
구박하다,"to ill-treat, mistreat",3317,
소비,consumption,3512,
정략,"political scheme, move",3319,
돌아가시다,"to pass away, die (hon.)",2202,
우승,"victory, championship",3323,
돌멩이,"stone, pebble",3324,
쫓아오다,"to follow, chase",4627,
관점,point of view,3014,
온수,warm water,3331,
괘씸하다,"to be disgraceful, outrageous;to be disgusted (with, that)",5023,
실체,"truth, true nature",3407,
주민등록증,ID card,3334,
엄연하다,"to be undeniable, clear",3335,
구성,"composition, organization, formation",2654,
시상,"award;poetic concept, idea",3337,
보류하다,"to postpone, put off",3338,
너무나,too much,1700,
안색,complexion;the look on one's face,3340,
저장하다,"to store, preserve",4720,
도로변,roadside,2911,
전하,Your Highness,3343,
속다,"to be deceived, be fooled",3344,
장군,"general, admiral",2751,
낯,face,3346,
잠그다,to lock,3275,
필통,pencil case,2908,
고아,orphan,3620,
가입하다,"to join, subscribe",3621,
대충,"roughly, approximately;almost, practically",3350,
임무,"duty, task",3351,
상쾌하다,"to be refreshing, fresh",3282,
밑줄,underline,3358,
순위,"rating, ranking, position",4840,
들려오다,to reach one's ears,2532,
폭풍,"storm, windstorm",2005,
동그라미,circle,3361,
달라고 하다,to request (ask) to give,3362,
입맛,"appetite, taste",3052,
방안,"plan, way",3403,
비꼬다,to be sarcastic,3365,
철도,railway,3368,
상영,"screening, showing (a movie etc.)",3369,
엿듣다,"to eavesdrop, overhear",3376,
군중,crowd,3377,
줄거리,"outline, synopsis, plot;stalk, stem",3378,
치사하다,"to be shameful, disgraceful, cheating, mean;to thank someone, express gratitude",3206,
대개,"mostly, generally",3379,
차이점,"differences, points of distinction",3380,
갈다,"to change, replace;to sharpen, grind, hone",3029,
물약,liquid medicine,3382,
정열,"passion, enthusiasm",3383,
연구실,(professor's) office;laboratory,3469,
지겹다,"to be tedious, boring, dull",3408,
직후,immediately after,3309,
된장찌개,soy bean paste stew,2653,
야경,night view,3390,
박히다,"to be stuck (in), embedded",3391,
태극기,national flag of Korea,3392,
학비,"school expenses, tuition fees",3830,
기세,"spirit, force",3395,
소독하다,"to disinfect, sterilize",3396,
레몬,lemon,2462,
부하,subordinate,3398,
목숨,life,2693,
겁쟁이,coward,4247,
연주하다,"to play (a musical instrument), to perform",3201,
부침개,vegetable pancake,3402,
오직,"only, solely",3066,
늑대,wolf,3418,
외치다,"to cry out, shout, yell",2589,
터널,tunnel,3414,
위기,crisis,3352,
국제적,international,2957,
찌푸리다,"to frown, scowl;to cloud over",3417,
자살,suicide,3419,
헤어스타일,hairstyle,3420,
기내식,in-flight meal,3421,
찌다,"to gain weight;to be steaming hot, be sultry;to cook with steam",1692,
밤새,all night,2848,
적립,"saving, accumulation",3424,
노름하다,to gamble,3425,
유언,"will, testament, dying wish",3426,
사다리,ladder,3427,
반사하다,to reflect,3428,
수갑,handcuffs,3429,
가해자,"attacker, perpetrator",3437,
불리하다,"to be unfavorable, disadvantageous",3438,
부채,"fan, folding fan;debt, liabilities",3063,
흉기,deadly weapon,3440,
쓸데없다,to be useless,3441,
빚,"debt, loan",3329,
대기실,waiting room,3436,
특이하다,"to be unusual, peculiar, unique",3463,
자정,midnight,3445,
불평,complaint,3446,
까다롭다,"to be particular (about), fussy, difficult",3447,
꼬마,(little) kid,3448,
느닷없이,"suddenly, abruptly",3449,
데우다,"to heat (up), warm (up)",3454,
억지로,"against one's will, by force",3455,
예방하다,to prevent,3349,
워낙,"very, by nature",3457,
경복궁,Gyeong Bok palace,2352,
여쭤보다,to ask (hum.),2742,
설렁탕,beef and noodle soup,2366,
진가,"true value, real worth",3461,
증명하다,"to prove, demonstrate, confirm",3462,
사흘,three days,1970,
회견,interview,3464,
기대다,"to lean (on), rest (against)",3465,
어찌,"how, what",3852,
상담,"advice, consultation;business talk",2715,
확보하다,"to secure, ensure, assure",3472,
충고,advice,3473,
연예인,"entertainer, celebrity",3844,
무리하다,"to exert energy, overstrain (oneself)",3475,
대만,Taiwan,3476,
북한,North Korea,3477,
처리하다,"to handle, deal with, take care of",3433,
미처,"as far as, to that extent",3479,
최악,the worst,3480,
눌리다,"to be squeezed, be pressed;to be oppressed",3481,
내복,long underwear,3488,
비타민,vitamin,3489,
꼬다,"to twist, cross, entwine",3490,
수수께끼,"puzzle, riddle",4149,
귀하,"sir, madam",3492,
복용하다,to take (a dose of) medicine or drugs,3493,
미장원,"beauty parlor, hair salon",3494,
소스,sauce,3495,
투자하다,to invest,3336,
제비,player;lot;swallow,3497,
목적지,one's destination,1884,
반납하다,"to return, give back, hand in",3003,
눈싸움,snowball fight;staring contest,3499,
영구히,"eternally, permanently",3500,
제출하다,"to submit, hand in, present",3501,
가구점,furniture store,3502,
반도,peninsula,3503,
진열하다,"to display, exhibit",3504,
관계자,"the interested parties, affected persons",3486,
효자,filial (devoted) son,3509,
암기하다,to memorize,3510,
거꾸로,"upside down, inside out, backwards",3751,
지극히,"very, extremely, perfectly",3522,
하이힐,high-heeled dress shoes,3524,
태연하다,"to be calm, composed, nonchalant",3525,
총장,"chancellor, secretary general",3191,
구조,"structure, organization;rescue",2175,
단층집,single-story house,3527,
새하얗다,"to be pure white, snow-white",3532,
사표,(written) resignation,3533,
수익,"profit, earnings, revenue",3534,
기본적,basic,2490,
마주치다,"to meet with, come across",3367,
차고,garage,3537,
무선,"wireless, radio",3538,
보트,boat,3539,
횡설수설하다,"to talk nonsense, babble, speak incoherently",3540,
첫눈,the first sight;the first snow (of the season),3506,
대사,"lines, dialogue;ambassador",3542,
창밖,outside the window,3496,
포근하다,"to be warm, mild;to be soft, comfortable",3544,
동전,(copper) coin,2235,
여배우,actress,3551,
소매,sleeve;retail,3552,
바래다,"to fade, lose color",3553,
예감,"premonition, foreboding, hunch",3554,
전차,tram;tank,3555,
시간표,"schedule, timetable",1754,
들려주다,"to let hear (i.e. tell, read to, inform etc.)",3557,
모범,"example, (role) model",3558,
약점,"weakness, weak point",3559,
끌어내다,"to take out, bring out, drag out",3360,
간첩,"spy, secret agent",3561,
교외,the suburbs,3562,
흥분하다,"to be excited, be stimulated",3563,
횟수,number (of times),3564,
권총,"pistol, gun",3565,
뚜렷하다,"to be distinctive, clear",3566,
안과,ophthalmic hospital,3574,
이발소,barber shop,2377,
결백하다,to be innocent,3577,
멜론,melon,3050,
기술자,"technician, engineer",3570,
유효하다,to be valid,3571,
작곡,composition (of music),3572,
강의,lecture,3541,
재촉하다,"to hurry, rush, push",3583,
판소리,traditional Korean singing drama,3586,
장부,"ledger, books, account",3587,
가만두다,"to tolerate, leave as is",3588,
축복,blessing,3589,
농부,"farmer, peasant",3590,
꼼꼼하다,"to be careful, meticulous",3591,
팩스,fax,3592,
죄책감,"feeling of guilt, guilty conscience",3593,
내가다,"to take out, take away, remove",3594,
공해,pollution,3595,
최소,"the smallest, minimum",3686,
도망치다,"to run away, escape",2226,
제작,"production, making",3637,
성향,"tendency, inclination",4554,
경솔하다,"to be careless, rash",3600,
발매,sale,3601,
방면,"direction;way, aspect",3602,
미련하다,"to be stupid, foolish",3603,
성당,Catholic church,3604,
제자리,"the proper place, the original place",3605,
훔치다,"to steal, swipe, lift;to wipe, mop",3606,
파스,pain relief patch,3611,
퇴장,"walkout, exit, departure",3612,
맴돌다,"to circle, hover",3613,
독,poison;jar,3614,
마술,magic,3615,
황당하다,"to be ridiculous, absurd, nonsensical",3616,
성적,"grade, mark;sexual",2161,
인연,"tie, connection;destiny",3627,
순하다,"to be gentle, mild, meek",3389,
이기적,selfish,3629,
결론,conclusion,3622,
못되다,"to be bad, mean, evil;to be under, short of",3226,
조치,"action, steps, measures",3632,
절반,half,2669,
거스르다,to go upstream;to give change,3636,
두부,tofu,2478,
급속히,rapidly,3638,
끔찍하다,"to be terrible, horrible",3639,
공격,"attack, assault",3584,
악수,handshake,2467,
평범하다,"to be ordinary, common",3315,
사투리,dialect,3271,
괴물,monster,3644,
도둑질하다,"to steal, rob",2516,
처녀,"unmarried (single) woman, maiden, virgin",3646,
기웃기웃,"peeping, snooping",3647,
애원하다,"to beg, plead, entreat",3648,
수수료,"commission, fee",3824,
관사,article (grammatical);official residence,3649,
공개하다,to make public,3599,
억양,"intonation, accent",3651,
표준,"standard, norm, average",3652,
여리다,"to be tender, soft, delicate",3653,
게,crab,3654,
급료,salary,3657,
엎다,to turn upside down,3658,
할리우드,Hollywood,3659,
교대,"rotation, shift, alternation",3660,
증가하다,"to increase, grow",3635,
은행원,"teller, bank clerk",990,
답변,"answer, reply",3663,
짙다,"to be dark, deep, thick",3182,
털,"hair, fur, feather",3665,
취향,"taste, liking, preference",3752,
유혹하다,"to tempt, lure, seduce",3667,
잠바,jacket,3668,
오누이,brother and sister,3669,
가르다,"to divide, cut, split",3670,
어르신,"senior citizen, elderly",3671,
메달,medal,3672,
따다,"to pick, pluck;to obtain",3680,
쓸쓸하다,"to be lonely, forlorn",3681,
환상적,fantastic,3682,
반팔,short-sleeve shirts,3683,
유치하다,"to be childish, immature",3684,
엑스레이,X-ray,3685,
매체,media,3545,
거듭나다,"to reform, turn over a new leaf",3687,
매연,exhaust (fumes),5058,
을지로,Euljiro,3689,
육박하다,"to approach, draw near, close in",5098,
세트,a set,3691,
재수,"luck, fortune",3692,
달래다,"to soothe, calm (down)",3693,
태풍,typhoon,2801,
장사,"business, trade",2999,
감격하다,to be deeply moved,3701,
단골,regular customer,3702,
우체부,mailman,3703,
밀리다,"to be delayed, be behind, be overdue",2785,
몽땅,all,3705,
면허증,"license, permission",3706,
불행하다,"to be unhappy, unfortunate",3707,
레이더,radar,3708,
과연,"indeed, sure enough",3845,
틀다,"to twist, turn;to switch on",2745,
습도,humidity,3711,
사치품,luxury goods,3712,
지저분하다,"to be messy, disordered, untidy",3713,
대체로,"generally, mostly",3575,
흑인,"black, ethnic African",3715,
무덥다,"to be stifling, humid, sultry",3716,
명물,specialty,3728,
현대인,modern people,3729,
고독하다,"to be lonely, solitary",3730,
떡볶이,rice-stick with vegetables,2208,
내내,"throughout, all the time, from start to finish",2380,
비롯하다,to include,3673,
억,hundred million,3734,
일식집,Japanese restaurant,2761,
눅눅하다,"to be damp, humid",3736,
사인,"signature, autograph;cause of death",3738,
장마철,the rainy season,3739,
불쾌하다,"to be unpleasant, uncomfortable",3740,
사납다,"to be wild, fierce, violent",3106,
전해주다,"to deliver, convey, report",3742,
초밥,sushi,3743,
횡재,windfall,3744,
흥정하다,"to bargain, haggle over terms",3745,
다투다,"to fight, argue, struggle",3746,
신청곡,song request,3753,
세대,generation,3248,
선명하다,"to be clear, distinct, sharp",3755,
청취자,listener (of a radio or similar),3756,
애절하다,"to be sad, touching, pathetic",3757,
카세트,cassette,3758,
세차하다,to wash a car,3759,
품질,quality,3287,
종로,Jongno,3761,
거절하다,"to refuse, decline, reject",2481,
실시간,"real time, live",3560,
무모하다,"to be rash, reckless",3764,
부유하다,"to be rich, wealthy",3765,
마룻바닥,the floor,2666,
목록,"list, catalogue",3623,
공평하다,"to be fair, just, even-handed",3767,
생물학,biology,3406,
건조하다,to be dry,2938,
책임자,person in charge,2649,
별장,"vacation home, cottage",3776,
넘어서다,"to pass over, exceed",2167,
서너,three or four,3778,
야간,"night, night time",3779,
유용하다,"to be useful, helpful",3780,
자주색,"purple, violet",3781,
분류하다,"to classify, categorize",3782,
탈의실,dressing room,3783,
불결하다,"to be dirty, unsanitary, filthy",3784,
따끈따끈하다,"to be hot, warm",3785,
신비하다,to be mysterious,3786,
통조림,canned food,3787,
매,"hawk, falcon;whip, rod",3788,
귀중하다,"to be precious, valuable",3797,
은은하다,"to be vague, faint",4712,
향기,"scent, fragrance",1361,
수정과,dried persimmon punch,3800,
기린,giraffe,3801,
중앙,"center, middle",3229,
생활비,"living expenses, the cost of living",3802,
불꽃,"spark, flame",3803,
국제선,international flight,4543,
삶다,"to boil, cook",3799,
평가,"appraisal, evaluation, assessment",3068,
맏아들,the eldest son,3807,
우애,brotherly love,4535,
내적,"inner, internal",3808,
자랑거리,something one is proud of,3809,
자동,automatic,3459,
돌아다니다,"to wander around, roam",3811,
양심,conscience,3812,
유괴하다,"to kidnap, abduct",4993,
유머,humor,3814,
피서,"summer retreat (out of town), summer vacation, getaway",3815,
파일,file,3816,
시력,eyesight,3817,
도서,"books, publications",3818,
국경,"border, boundary",3819,
탑,"tower, pagoda",2218,
재혼하다,"to remarry, marry again",3821,
바둑,Go (the board game),3822,
온천,hot spring,3373,
부수,number of copies;radical,3825,
공상과학,science fiction,3828,
항의,"protest, complaint",3829,
일상,"everyday, daily life",2884,
수십,"tens, scores, dozens",3831,
칠순,the age of seventy,3832,
영토,"territory, domain",3833,
물질,"matter, substance, material",3656,
외할머니,maternal grandmother,3835,
처방,prescription,3836,
월세,monthly rent,3837,
어귀,entrance,3838,
항구,"port, harbor",3839,
장녀,eldest daughter,3840,
하반기,the second half of the year,3841,
폭발하다,"to explode, blow up, detonate, erupt",3842,
첩,"concubine;book, album",4971,
얌전하다,"to be gentle, well-behaved, obedient, modest",2825,
따님,daughter (hon.),2887,
솜씨,"skill, ability",3516,
단풍,tinged autumn leaves,2268,
시동,starting (of a machine),4520,
짝퉁,"fake, imitation",4996,
충전하다,"to electrify, charge",3856,
등신,"fool, idiot",3857,
중지하다,"to discontinue, stop, suspend",3858,
부디,please,3859,
유료,requiring payment,3860,
장인,one's wife's father;master craftsman,3861,
육감,"sixth sense, gut feeling",3862,
부서지다,"to break, break down, become out of order",3863,
신형,"new model, new style",3864,
과장하다,to exaggerate,3865,
문맥,context,4490,
전주,last week;Jeonju,3871,
안약,eye drops,3872,
관람,"viewing, inspection",3409,
귀찮다,"to be troublesome, bothersome, annoying",3270,
메다,to carry on one's shoulder;to choke (up),3874,
고려하다,"to consider, take into account",2074,
상품권,gift certificate,3876,
여의도,Yeouido,3877,
평균,"average, mean",3954,
분량,quantity,3885,
고요하다,"to be still, quiet, calm, silent, peaceful",4690,
말끔,"all, completely, thoroughly",3887,
고용하다,"to hire, employ",3942,
초급,elementary (beginning) level,3889,
째려보다,to look unkindly at,3890,
둔하다,"to be dull, slow, stupid",3891,
이데올로기,ideology,4205,
간접화법,indirect speech,3893,
이래,since,3870,
백성,"the people, the public",3931,
청년,"young man, young people",2399,
돌이키다,"to look back on, reflect;to undo",3897,
용의자,suspect,3898,
데모,demonstration,3899,
식모,"maid, domestic help",3900,
들러리,"best man, bridesmaid",3901,
업체,"business, enterprise, concern",3895,
펴놓다,"to spread, lay out, keep open",3905,
파악하다,"to grasp, understand, figure out",3794,
실천,"practice, action (as opposed to just talking)",3698,
나르다,"to carry, transport",3908,
이윽고,"eventually, at last, finally",3909,
한눈,"one eye;a look, a glance",4179,
눈부시다,"to be dazzling, glaring, brilliant",3911,
빈틈,"gap, crack",3912,
방패,shield,3913,
입찰,"bid, tender",3914,
작성하다,"to draw up, write out, prepare",3915,
압구정,Apgujeong,3916,
건장하다,"to be well built, have a strong physique",3917,
혈압,blood pressure,3918,
용납하다,"to allow, permit, tolerate",3919,
험하다,"to be rugged, rough, sinister",3920,
물러나다,"to fall back, retreat, retire",3921,
무례하다,"to be rude, disrespectful",3922,
색칠하다,"to color, paint",3923,
최고급,"highest grade, top class",4735,
종료,"end, conclusion, termination",3888,
위엄,dignity,3936,
훈훈하다,to be comfortably warm,3937,
엔지니어,engineer,2939,
빤히,"evidently, obviously;intently",3934,
선,"line;goodness, virtue;meeting with a prospective marriage partner",3941,
무렵,time,2243,
뺨맞다,to get slapped,3945,
얼룩,"stain, spot",3946,
편견,"prejudice, bias",4589,
지지난,"the day, week, month, etc. before last",2357,
분실,loss,3722,
전편,"the whole book (movie, series etc.);the original book (movie)",3949,
급식,food service,3950,
설화,"tale, story",3951,
모음,vowel,3952,
예비군,"reservist, reserve forces",3953,
부정확,"inaccuracy, incorrectness",3386,
작전,"operation, military action",3955,
새집,new house;bird's nest,3956,
착각하다,"to be under an illusion, delude oneself",3116,
드러내다,"to reveal, expose, show",3958,
유력하다,"to be influential, leading, powerful",3959,
음성,voice;negative,3310,
잠실,Jamsil,3960,
올바르다,"to be straight, upright, correct",3721,
위대하다,"to be great, grand",3904,
지혜,"wisdom, wit",3366,
독특하다,"to be peculiar, unique, distinctive",4194,
처지,"position, circumstances, situation",3957,
조미료,"seasoning, condiment",3884,
식용유,cooking oil,3747,
해바라기,sunflower,3972,
깨,sesame,3973,
물끄러미,with a blank look,3974,
금품,money and valuables,3975,
몸매,one's figure,3976,
듬직하다,"to be reliable, dependable",3977,
활발하다,"to be lively, active",2282,
자상하다,"to be attentive, considerate, thoughtful",3978,
지적하다,"to point out, indicate",3979,
신청서,application form,3980,
온전하다,"to be whole, intact",3981,
음절,syllable,3982,
앞면,the front,3983,
북녘,north,3984,
펭귄,penguin,3985,
해변,"beach, seashore",3485,
관광객,tourist,2186,
요원,agent,3987,
장물,stolen goods,3993,
순진하다,to be naive,3994,
쏘다,"to shoot, fire",2875,
앙큼하다,"to be sly, cunning",3996,
연락선,ferry,3997,
신속하다,"to be quick, prompt, swift",3998,
마지못해,"reluctantly, grudgingly",3999,
숙면,"deep sleep, sound sleep",4000,
얼빠지다,"to be dazed, be dull-headed, lose one's senses",4001,
악성,"bad, vicious, malignant",4002,
포장마차,"(covered) cart bar, snack stall",4003,
바래다주다,see a person home,4004,
현관,"front door, entrance, foyer",2196,
말대꾸하다,"to talk back, retort",4006,
꼬박꼬박,regularly,4007,
잔뜩,"to the greatest possible extent, to the fullest",2931,
시리다,to be cold (about one's body parts),4013,
택배,parcel delivery service,4014,
꿇다,to kneel (down),4015,
인턴,intern,4016,
엽서,postcard,1392,
극복하다,to overcome,3961,
실연하다,"to be disappointed in love, heartbroken;to demonstrate",4019,
배신하다,to betray,3766,
명상,meditation,4021,
영업시간,business hours,4022,
사직서,letter of resignation,4023,
힘내다,"to gather heart, cheer up",4028,
전처,"one's former wife, ex-wife",4029,
야무지다,"to be sturdy, skillful, shrewd",4030,
출연하다,to appear (in a movie etc.),2665,
원기,"energy, vigor",4032,
밥상,dinner table,4033,
씩씩하다,"to be brave, manly",3192,
탈락하다,"to drop out, be eliminated",4038,
쓰레기통,"garbage can, waste basket",1253,
오븐,oven,4040,
장식장,"display cupboard, cabinet",4041,
주전자,kettle,4066,
화장대,dressing table,4077,
소방관,fireman,2531,
일과표,daily schedule,4045,
투명하다,to be transparent,4046,
유행가,popular song,4047,
직전,just before,3777,
일출,sunrise,4451,
구역,"area, zone, district",4105,
삽,shovel,4050,
대장,"general, admiral;leader, commander",4051,
팔씨름하다,to arm wrestle,4052,
뺏다,"to take (away), snatch",4053,
야단맞다,to be scolded thoroughly,4039,
고자질하다,"to tattle, tell on",4055,
강의실,lecture room,4056,
시시하다,"to be dull, boring;to be trivial, insignificant",4057,
새치기하다,"to jump the queue, cut in line",4058,
가버리다,to be gone,4059,
솥,iron pot,2787,
피해자,victim,4061,
올바로,"honestly, uprightly, properly",3991,
화창하다,to be sunny,4063,
통통하다,"to be plump, chubby",4064,
머물다,"to stay, remain",3330,
터지다,"to burst, blow up, explode",2907,
추가하다,"to add, supplement",4067,
허리띠,belt,4068,
정오,"noon, midday",4069,
고아원,orphanage,4024,
다락,attic,4071,
안부,regards,4072,
화랑,art gallery,4384,
싸늘하다,"to be cool, chilly",4073,
어리석다,"to be foolish, stupid, silly",4070,
뾰족하다,"to be pointed, sharp",4075,
외딴,"isolated, remote",4076,
탄탄하다,"to be solid, strong, robust",4084,
뒤돌아보다,to look back,4085,
친숙하다,to be familiar,4086,
그리움,"longing, yearning",4087,
또래,"peer (group), same age group",4088,
뒤쳐지다,to be left behind,4089,
표준어,standard language,4090,
탈출하다,to escape,4091,
함정,trap,4092,
불타다,"to burn, be in flames",4093,
업다,to carry on one's back,4094,
파업,"strike, walkout",4095,
썩다,"to rot, decay, go bad",3643,
통제,control,4121,
하찮다,"to be trivial, petty, insignificant",4098,
사진기,camera,4099,
앞지르다,"to pass, overtake, get ahead",4100,
정열적,passionate,4101,
회화,conversation;painting,4102,
재다,"to measure, gauge",4203,
이별하다,"to part, separate",3710,
도저히,"not at all, no way",4110,
포위하다,"to surround, encircle",5026,
명심하다,"to keep in mind, remember",4112,
고무,rubber,1679,
문방구,stationery;stationery store,4114,
사기꾼,"con artist, swindler",4115,
급여,"pay, salary",4670,
논,rice field,4117,
동점,"tie, same score",4118,
정형외과,orthopedics,4119,
꼴불견,unsightliness,4120,
